module_presentation,date,total_clicks
FFF_2014J,61,18581
FFF_2014J,62,13530
FFF_2014J,63,13122
FFF_2014J,64,16236
FFF_2014J,65,19902
FFF_2014J,66,18380
FFF_2014J,67,16299
FFF_2014J,68,14963
FFF_2014J,69,10981
FFF_2014J,71,11977
FFF_2014J,72,15383
FFF_2014J,73,14702
FFF_2014J,74,13505
FFF_2014J,75,12079
FFF_2014J,78,11010
FFF_2014J,79,11122
FFF_2014J,84,10008
FFF_2014J,85,12345
FFF_2014J,86,16542
FFF_2014J,87,17163
FFF_2014J,88,10497
FFF_2014J,89,12085
FFF_2014J,90,20032
FFF_2014J,91,22985
FFF_2014J,92,31735
FFF_2014J,93,37774
FFF_2014J,94,25874
FFF_2014J,95,17702
FFF_2014J,96,18327
FFF_2014J,97,14164
FFF_2014J,98,15357
FFF_2014J,99,19834
FFF_2014J,100,24001
FFF_2014J,101,21073
FFF_2014J,102,17960
FFF_2014J,103,18048
FFF_2014J,104,14000
FFF_2014J,105,14595
FFF_2014J,106,18337
FFF_2014J,107,20123
FFF_2014J,108,19053
FFF_2014J,109,17002
FFF_2014J,110,14537
FFF_2014J,111,11408
FFF_2014J,112,15827
FFF_2014J,113,19447
FFF_2014J,114,19955
FFF_2014J,115,19024
FFF_2014J,116,17604
FFF_2014J,117,16030
FFF_2014J,118,11161
FFF_2014J,119,11403
FFF_2014J,120,14681
FFF_2014J,121,17207
FFF_2014J,122,15687
FFF_2014J,123,14151
FFF_2014J,124,14107
FFF_2014J,125,10988
FFF_2014J,126,12735
FFF_2014J,127,14936
FFF_2014J,128,19936
FFF_2014J,129,18014
FFF_2014J,130,18745
FFF_2014J,131,18337
FFF_2014J,132,18106
FFF_2014J,133,22705
FFF_2014J,134,32946
FFF_2014J,135,43678
FFF_2014J,136,33107
FFF_2014J,137,18276
FFF_2014J,138,19089
FFF_2014J,139,16724
FFF_2014J,140,19278
FFF_2014J,141,24261
FFF_2014J,142,26239
FFF_2014J,143,23601
FFF_2014J,144,20360
FFF_2014J,145,18417
FFF_2014J,146,16113
FFF_2014J,147,17144
FFF_2014J,148,20962
FFF_2014J,149,26190
FFF_2014J,150,21115
FFF_2014J,151,22123
FFF_2014J,152,18269
FFF_2014J,153,13670
FFF_2014J,154,22441
FFF_2014J,155,21536
FFF_2014J,156,22861
FFF_2014J,157,20784
FFF_2014J,158,21975
FFF_2014J,159,17195
FFF_2014J,160,15601
FFF_2014J,161,12734
FFF_2014J,162,14019
FFF_2014J,163,17587
FFF_2014J,164,18836
FFF_2014J,165,16252
FFF_2014J,166,12669
FFF_2014J,167,11701
FFF_2014J,168,11566
FFF_2014J,169,12662
FFF_2014J,170,15861
FFF_2014J,171,13263
FFF_2014J,172,14608
FFF_2014J,173,12271
FFF_2014J,175,11364
FFF_2014J,176,11408
FFF_2014J,177,16160
FFF_2014J,178,15327
FFF_2014J,179,13533
FFF_2014J,180,10138
FFF_2014J,181,10631
FFF_2014J,182,10160
FFF_2014J,183,10467
FFF_2014J,184,12756
FFF_2014J,185,11642
FFF_2014J,186,10526
FFF_2014J,189,10051
FFF_2014J,190,13129
FFF_2014J,191,12660
FFF_2014J,192,14143
FFF_2014J,193,14367
FFF_2014J,194,14008
FFF_2014J,195,12159
FFF_2014J,196,14180
FFF_2014J,197,23006
FFF_2014J,198,32684
FFF_2014J,199,24156
FFF_2014J,200,13190
FFF_2014J,201,13006
FFF_2014J,202,12144
FFF_2014J,203,12554
FFF_2014J,204,15656
FFF_2014J,205,16045
FFF_2014J,206,20706
FFF_2014J,207,20451
FFF_2014J,208,19078
FFF_2014J,209,13172
FFF_2014J,210,12382
FFF_2014J,211,17018
FFF_2014J,212,22705
FFF_2014J,213,22952
FFF_2014J,214,20321
FFF_2014J,215,19761
FFF_2014J,216,15122
FFF_2014J,217,22729
FFF_2014J,218,23637
FFF_2014J,219,25628
FFF_2014J,220,21394
FFF_2014J,221,20141
FFF_2014J,222,18121
FFF_2014J,223,13836
FFF_2014J,224,18798
FFF_2014J,225,24596
FFF_2014J,226,25903
FFF_2014J,227,25928
FFF_2014J,228,22206
FFF_2014J,229,19923
FFF_2014J,230,19500
FFF_2014J,231,19733
FFF_2014J,232,24417
FFF_2014J,233,31829
FFF_2014J,234,28906
FFF_2014J,235,32482
FFF_2014J,236,33975
FFF_2014J,237,33482
FFF_2014J,238,39599
FFF_2014J,239,56164
FFF_2014J,240,73321
FFF_2014J,241,49712
